B0CL5FQFP7$Red Sky Mourning: A Thriller (Terminal List Book 7)$Jack Carr$June 18, 2024$"$29.99"$"$14.99"$4.7$7,089 ratings$575 pages$English$Atria/Emily Bestler Books (June 18, 2024)$Timothy$5.0 out of 5 stars$Red Sky Mourning was a great thriller and would make a great movie$Reviewed in the United States on July 13, 2024
B08HHTBJ8G$Long Island Compromise: A Novel$Taffy Brodesser-Akner$July 9, 2024$"$30.00"$"$13.99"$4.1$2,770 ratings$442 pages$English$Random House (July 9, 2024)$Digital Rights$5.0 out of 5 stars$Guilty pleasure$Reviewed in the United States on September 5, 2024
B0BHTMBW5B$The Will of the Many (Hierarchy Book 1)$James Islington$May 23, 2023$"$29.99"$"$14.99"$4.7$7,694 ratings$639 pages$English$S&S/Saga Press (May 23, 2023)$Jordan$5.0 out of 5 stars$Absolutely incredible–I don't know what to do until the sequel comes out!$Reviewed in the United States on June 6, 2023
B00I765ZEU$Golden Son (Red Rising Book 2)$Pierce Brown$January 6, 2015$"$19.00"$"$9.99"$4.7$45,031 ratings$466 pages$English$Del Rey (January 6, 2015)$Bryan Desmond$5.0 out of 5 stars$Let fall the Rain.$Reviewed in the United States on May 15, 2017
B0CK3PMPGD$Obsession Falls: A Small-Town Romance (The Haven Brothers Book 1)$Claire Kingsley$October 12, 2023$"$18.99"$"$5.99"$4.4$12,161 ratings$432 pages$English$Always Have, LLC (October 12, 2023)$Orion$5.0 out of 5 stars$so sweet!!!$Reviewed in the United States on September 20, 2024
B09BV2JNWV$Trust (Pulitzer Prize Winner)$Hernan Diaz$May 3, 2022$"$17.00"$"$11.99"$4.1$31,459 ratings$415 pages$English$Riverhead Books (May 3, 2022)$robin friedman$5.0 out of 5 stars$Storytelling On Wall Street$Reviewed in the United States on December 27, 2023
B0DFV5XCLW$Ghosts of Halloween: A Dark Why Choose Romance$Layla Fae$September 23, 2024$$"$5.99"$4.2$561 ratings$414 pages$English$September 23, 2024$Noma Jean$5.0 out of 5 stars$Wow!! 🖤🖤🖤$Reviewed in the United States on September 20, 2024
B00VES8D6K$Pretty Girls: A Novel$Karin Slaughter$September 29, 2015$$"$9.99"$4.3$98,921 ratings$432 pages$English$William Morrow; Reprint edition (September 29, 2015)$Amazon Customer$5.0 out of 5 stars$Karin Slaughter does it again!$Reviewed in the United States on August 24, 2024
B0D2Z5MC51$The Primal Hunter 10: A LitRPG Adventure$Zogarth$August 14, 2024$"$19.99"$"$7.99"$4.8$4,720 ratings$638 pages$English$Aethon Books (August 14, 2024)$Érica Amazon customer$5.0 out of 5 stars$Great book$Reviewed in the United States on September 18, 2024
B0CGRYWVJD$Mind Games: A Novel$Nora Roberts$May 21, 2024$$"$14.99"$4.7$13,809 ratings$419 pages$English$St. Martin's Press (May 21, 2024)$Susie$5.0 out of 5 stars$Another Hit from My Favorite Author$Reviewed in the United States on September 9, 2024
